sector,stock,label_type,y_0_count,y_1_count,y_0_ratio,y_1_ratio
multi,601398.SH.csv,today,853,703,0.5482005141388174,0.4517994858611825
multi,601658.SH.csv,next,459,376,0.5497005988023952,0.4502994011976048
multi,601658.SH.csv,today,457,379,0.5466507177033493,0.4533492822966507
multi,601838.SH.csv,next,506,433,0.5388711395101171,0.46112886048988283
multi,601838.SH.csv,today,493,447,0.524468085106383,0.475531914893617
multi,601988.SH.csv,next,751,510,0.5955590800951626,0.40444091990483744
multi,601988.SH.csv,today,749,513,0.5935023771790808,0.40649762282091917
multi,601998.SH.csv,next,883,669,0.5689432989690721,0.43105670103092786
multi,601998.SH.csv,today,883,670,0.5685769478428847,0.43142305215711524
互联网,002115.SZ.csv,next,148,124,0.5441176470588235,0.45588235294117646
互联网,002115.SZ.csv,today,143,130,0.5238095238095238,0.47619047619047616
互联网,002195.SZ.csv,next,380,290,0.5671641791044776,0.43283582089552236
互联网,002195.SZ.csv,today,378,293,0.563338301043219,0.4366616989567809
互联网,002306.SZ.csv,next,102,79,0.56353591160221,0.43646408839779005
互联网,002306.SZ.csv,today,97,85,0.532967032967033,0.46703296703296704
互联网,002354.SZ.csv,next,314,255,0.5518453427065027,0.44815465729349735
互联网,002354.SZ.csv,today,311,259,0.5456140350877193,0.4543859649122807
互联网,002558.SZ.csv,next,587,477,0.5516917293233082,0.4483082706766917
互联网,002558.SZ.csv,today,564,501,0.5295774647887324,0.4704225352112676
互联网,002640.SZ.csv,next,351,304,0.5358778625954198,0.46412213740458014
互联网,002640.SZ.csv,today,350,306,0.5335365853658537,0.46646341463414637
互联网,002803.SZ.csv,next,321,300,0.5169082125603864,0.4830917874396135
互联网,002803.SZ.csv,today,290,332,0.4662379421221865,0.5337620578778135
互联网,003010.SZ.csv,next,185,179,0.5082417582417582,0.49175824175824173
互联网,003010.SZ.csv,today,185,180,0.5068493150684932,0.4931506849315068
互联网,300002.SZ.csv,next,266,252,0.5135135135135135,0.4864864864864865
互联网,300002.SZ.csv,today,255,264,0.4913294797687861,0.5086705202312138
互联网,300031.SZ.csv,next,251,264,0.487378640776699,0.512621359223301
互联网,300031.SZ.csv,today,242,274,0.4689922480620155,0.5310077519379846
互联网,300043.SZ.csv,next,318,249,0.5608465608465608,0.43915343915343913
互联网,300043.SZ.csv,today,299,269,0.5264084507042254,0.4735915492957746
互联网,300113.SZ.csv,next,340,305,0.5271317829457365,0.4728682170542636
互联网,300113.SZ.csv,today,322,324,0.4984520123839009,0.5015479876160991
